Matrix Size,Matrix[i] Values,Algorithm,trial 1,trial 2,trial 3,trial 4,trial 5,,Leaf Size,,Matrix Size,BAM Average Time (s),SAM Average Time (s),CWA Average Time (s),Matrix Size,SD BAM Ttime,SD SAM TIME,SD CWA TIME
200 x 200,0 - 100,SAM,"5,437,252 bytes",,,,,Space,2,,200,0.0248856,0.0220556,0.0198128,200,0.00239363036,0.00343848343,0.001487775924
,,,18.705,19.556,20.562,25.17,26.285,Time,,,400,0.2261516,0.1323884,0.12089,400,0.04508571466,0.006750339569,0.003329307135
,,BAM,"554,752 bytes",,,,,Space,,,600,0.8391136,0.5782838,0.460144,600,0.08119853971,0.07804206777,0.0208719177
,,,24.067,22.282,24.624,28.803,24.652,Time,,,800,1.7865764,0.9979184,0.878562,800,0.05185947253,0.07515649386,0.01164156907
,,CWA,"4,042,252 bytes",,,,,Space,,,1000,4.1323728,2.1327842,1.9954614,1000,0.5805499817,0.1141898063,0.0308616739
,,,18.624,18.394,20.814,21.868,19.364,Time,,,1200,7.0304114,3.3430304,3.1522462,1200,0.291006609,0.1770443366,0.133497881
400 x 400,0 - 100,SAM,"39,532,252 bytes",,,,,Space,,,1400,15.9531402,5.6534778,5.5668658,1400,0.9556993523,0.1247526311,0.110528679
,,,129.91,144.394,129.752,128.137,129.749,Time,,,1600,26.0445856,6.8899714,6.3789602,1600,2.462704006,0.2204338092,0.1012507658
,,BAM,"1,994,752 bytes",,,,,Space,,,1800,42.5622042,9.6308,9.4944,1800,1.541584994,0.4747275008,0.5556417911
,,,198.543,205.956,297.535,186.191,242.533,Time,,,2000,56.6052552,11.8686,11.7112,2000,1.945701957,0.05236697433,0.05823830355
,,CWA,"28,807,252 bytes",,,,,Space,,,3000,141.1324,46.1148,45.6042,3000,0.440577235,0.1440892085,0.1680764707
,,,126.626,119.32,120.71,118.192,119.602,Time,,,5000,727.5676,236.8652,226.3182,5000,24.88111136,21.00512677,9.012945395
600 x 600,0 - 100,SAM,"48,337,252 bytes",,,,,Space,,,,,,,,,,
,,,637.759,580.249,546.779,464.877,661.755,Time,,,,,,,,,,
,,BAM,"4,394,752 bytes",,,,,Space,,,,,,,,,,
,,,981.998,793.405,794.154,828.545,797.466,Time,,,,,,,,,,
,,CWA,"35,782,252 bytes",,,,,Space,,,,,,,,,,
,,,490.444,470.332,442.424,440.173,457.347,Time,,,,,,,,,,
800 x 800,0 - 100,SAM,"134,137,252 bytes",,,,,Space,,,,,,,,,,
,,,953.311,974.526,947.978,1129.717,984.06,Time,,,,,,,,,,
,,BAM,"7,754,752 bytes",,,,,Space,,,,,,,,,,
,,,1765.88,1746.287,1737.026,1850.261,1833.428,Time,,,,,,,,,,
,,CWA,"99,262,252 bytes",,,,,Space,,,,,,,,,,
,,,884.07,892.535,882.376,863,870.829,Time,,,,,,,,,,
1000 x 1000,0 - 100,SAM,"262,837,252 bytes",,,,,Space,,,,,,,,,,
,,,2031.607,2157.063,2291.187,2172.4,2011.664,Time,,,,,,,,,,
